source,target,frequency,count
1.1,2.6,0.95,95
2.2,2.3,0.89,89
2.3,3.1,0.79,79
1.4,1.5,0.76,76
2.2,2.6,0.72,72
1.3,1.5,0.69,69
2.1,1.4,0.66,66
2.3,2.4,0.65,65
2.2,1.5,0.65,65
2.1,1.3,0.6,60
2.2,2.4,0.51,51
2.6,3.1,0.47,47
1.1,2.3,0.45,45
1.1,3.3,0.42,42
2.1,3.3,0.39,39
2.2,1.4,0.38,38
2.3,1.3,0.38,38
2.3,1.4,0.37,37
1.3,3.3,0.37,37
1.2,1.1,0.29,29
1.4,1.3,0.26,26
2.3,1.5,0.22,22
2.1,2.4,0.2,20
1.1,2.4,0.18,18
1.1,3.1,0.16,16
3.1,3.3,0.15,15
1.2,2.2,0.15,15
2.2,1.1,0.14,14
2.4,1.4,0.14,14
2.3,1.1,0.14,14
2.4,2.1,0.13,13
1.5,3.3,0.12,12
2.4,3.1,0.12,12
1.1,3.2,0.1,10
3.1,3.2,0.1,10
1.1,1.2,0.1,10
2.4,2.3,0.09,9
2.3,2.1,0.08,8
2.6,1.4,0.07,7
2.3,3.3,0.07,7
1.3,2.1,0.07,7
1.4,2.1,0.06,6
2.4,3.3,0.06,6
2.2,3.1,0.06,6
1.2,2.1,0.06,6
1.4,3.1,0.05,5
1.4,3.3,0.05,5
1.2,2.3,0.05,5
2.1,2.3,0.04,4
2.2,3.3,0.03,3
1.3,1.4,0.03,3
1.2,3.3,0.03,3
1.2,3.2,0.02,2
1.4,2.4,0.02,2
1.2,1.4,0.02,2
1.2,2.4,0.02,2
2.4,1.3,0.02,2
1.5,3.1,0.02,2
2.6,3.3,0.02,2
1.4,2.3,0.01,1
1.1,1.4,0.01,1
1.1,2.2,0.01,1
2.1,3.1,0.01,1
1.3,3.1,0.01,1
2.2,1.3,0.01,1
1.4,3.2,0.01,1
2.3,2.6,0.01,1
1.2,1.3,0.01,1
